company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
C2FO,20,2,12/9/2022,"Fintech, payments","Leawood, KS",Kansas City Business Journal,Private,
VideoAmp,95,2,9/19/2022,Advertising platforms,Los Angeles,Company memo,Private,
Amperity,13,3,8/20/2022,"Saas, analytics",Seattle,Geekwire,Private,
Addepar,20,3,1/18/2023,"fintech, data analytics","Mountain View, CA",Fortune,Private,
Thirty Madison,24,3,5/13/2022,Health Care,New York,Axios,Private,"Per Axios, 22 of the employees laid off were from Thirty Madison, and two were from new parent company Nurx. Layoffs affected around 3% of employees."
NextRoll,95,3,7/8/2022,Marketing Tech,San Francisco,Business Insider,Private,
Armis Security,25,4,12/8/2022,Cybersecurity,San Francisco,Calcalistech,Private,
Foxtrot,26,4,9/23/2022,"food and beverage, e-commerce",Chicago,Chicago Business,Private,
Headspace Health,50,4,12/14/2022,"telehealth, wellness",Los Angeles,Bloomberg,Private,
RealSelf,11,5,7/21/2022,Beauty tech,Seattle,GeekWire,Private,
New Relic,110,5,8/18/2022,"productivity, enterprise software","Bay Area, CA",MarketWatch,Private,
Abra,12,5,6/30/2022,Crypto,Mountain View,The Block,Private,
Clarify Health,15,5,7/22/2022,Health Care,San Francisco,Axios,Private,
Argo AI,150,5,7/7/2022,Transportation,Pittsburgh,TechCrunch,Private,
Snyk,220,5,10/24/2022,Cybersecurity,Boston,Globes,Private,
JOKR,50,5,6/16/2022,"Food delivery, ecommerce",New York,TechCrunch,Private,
Project44,63,5,7/15/2022,Logistics,Chicago,FreightWaves,Private,
Reef,750,5,5/6/2022,"Food delivery, ecommerce",Miami,The Information,Private,
Outreach,95,5,8/2/2022,Sales Tech,Seattle,LinkedIn,Private,
Boosted Commerce,95,5,7/25/2022,E-commerce,Los Angeles,Business Insider,Private,
Forward,95,5,7/11/2022,Health Care,San Francisco,Fierce Healthcare,Private,
CoinDCX,100,6,1/11/2023,"Blockchain, cryptocurrency","Mumbai, India",Biometric Update,Private,
Food52,20,6,4/8/2022,"Media, E-commerce",New York,Digiday,Private,
Motive,237,6,12/7/2022,"enterprise software, productivity",San Francisco,Motive,Private,
Canoo,58,6,7/1/2022,Transportation,"Torrance, California",Business Insider,Private,
Wonder,130,7,11/30/2022,"Food delivery, ecommerce",New York,The Information,Private,
Argyle,20,7,8/26/2022,InsurTech,New York,TechCrunch,Private,
Kabam,35,7,11/9/2022,video games,San Francisco,TechCrunch,Private,
Upstart,60,7,11/1/2022,Fintech,"San Carlos, CA",TechCrunch,Private,
Gemini,68,7,7/18/2022,Crypto,New York,TechCrunch,Private,
Faire,84,7,11/3/2022,"E-commerce, retail",San Francisco,The Information,Private,
Convoy,90,7,6/9/2022,Logistics,Seattle,GeekWire,Private,
DataRobot,95,7,8/8/2022,Artificial Intelligence,Boston,Boston Globe,Private,
ShipBob,95,7,8/25/2022,"Shipping, Logistics",Chicago,Business Insider,Private,
ClickUp,95,7,5/24/2022,Productivity Tools,San Diego,Protocol,Private,
Innovaccer,120,8,9/1/2022,"Cloud Infrastructure, health care",San Francisco,Inc42,Private,
StockX,120,8,6/28/2022,E-commerce,Detroit,The Information,Private,
Albert,20,8,6/10/2022,FinTech,Los Angeles,dot.LA,Private,
Personetics,30,8,1/5/2023,"Fintech, analytics",New York,Calcalistech,Private,
Bright Machines,30,8,6/28/2022,Robotics,San Francisco,CTech,Private,
Stash Financial,32,8,12/6/2022,"fintech, personal finance",New York,Stash,Private,
Dutchie,56,8,6/6/2022,Cannabis,"Bend, Oregon",GeekWire,Private,
Stord,59,8,6/3/2022,Logistics,Atlanta,Business Insider,Private,
Niantic,85,8,6/29/2022,"Video Games, AR",San Francisco,Bloomberg,Private,
Picsart,90,8,5/17/2022,Media/entertainment,Miami,The Information,Private,
Jellysmack,95,8,6/9/2022,Media/Entertainment,New York,Business Insider,Private,
Remote,100,9,7/6/2022,HR Tech,San Francisco,Publico,Private,
Vox Media,169,9,1/20/2023,"Digital media, journalism","Washington, DC",CNN,Private,
Yotpo,70,9,11/16/2022,"marketing, media",New York,Calcalistech,Private,
Aura,70,9,6/24/2022,Cybersecurity,Boston,Bank Info Security,Private,
Komodo Health,78,9,12/13/2022,"Health care, predictive analytics",San Francisco,TechCrunch,Private,
Jellyfish US,95,9,1/13/2023,"engineering, software",Boston,BostonInno,Private,
Khoros,120,10,10/21/2022,"SaaS, enterprise software",Austin,Austin Business News,Private,
Bonterra,140,10,1/13/2023,"social impact, finance",Distributed,The Nonprofit Times,Private,
Chargebee,142,10,11/2/2022,"Fintech, SaaS",San Francisco,TechCrunch,Private,
6sense,150,10,10/12/2022,"Artificial Intelligence, Machine Learning",San Francisco,MoneyControl,Private,
Relativity,150,10,12/7/2022,"Data science, enterprise",Chicago,Crain's Chicago,Private,
TIFIN,21,10,6/14/2022,FinTech,Boulder,Axios,Private,
Lusha,30,10,7/18/2022,Sales tech,New York,CTech,Private,
Aqua Security,65,10,12/5/2022,"SecOps, security","Burlington, MA",Calcalistech,Private,
Spin,78,10,9/30/2022,Transportation,San Francisco,TechCrunch,Private,
Verbit,80,10,7/5/2022,Natural Language Processing,New York,CTech,Private,
ZenLedger,95,10,12/9/2022,"Blockchain, cryptocurrency","Bellevue, WA",Blockworks,Private,
Firework,95,10,11/29/2022,"e-commerce, retail",San Francisco,The Information,Private,
Mythical Games,95,10,11/4/2022,"Video games, blockchain",Los Angeles,Bloomberg,Private,
Apartment List,95,10,8/31/2022,Proptech,San Francisco,CEO Matthew Woods,Private,
impact.com,95,10,8/25/2022,Digital marketing,"Santa Barbara, CA",impact.com,Private,
80 Acres Farms,95,10,1/18/2023,"indoor farming, agtech","Hamilton, OH",CincinnatiInno,Private,
98point6,95,10,7/21/2022,Health Care,Seattle,GeekWire,Private,
Gemini,95,10,6/2/2022,"Fintech, Crypto",New York,Bloomberg,Private,
Side,95,10,6/1/2022,PropTech,San Francisco,Inman,Private,
Carta,200,10,1/11/2023,Fintech,San Francisco,TechCrunch,Private,
ConsenSys,100,11,1/10/2023,"Cryptocurrency, FinTech",New York,CoinDesk,Private,
Tipalti,123,11,1/11/2023,FinTech,San Mateo,Calcalistech,Private,
Brex,136,11,10/11/2022,Fintech,San Francisco,TechCrunch,Private,
Salsify,90,11,11/16/2022,"Cloud computing, e-commerce",Boston,Boston Business Journal,Private,
SADA,95,11,11/8/2022,"Cloud computing, IT",Los Angeles,SADA CEO,Private,
Momentive,95,11,10/14/2022,information technology,"Waterford, MI",TechCrunch,Private,
Automox,95,11,4/18/2022,Security,Boulder,LinkedIn,Private,
Klarna,750,12,9/22/2022,Fintech,Stockholm,Sifted,Private,
JumpCloud,100,12,1/18/2023,"Cloud services, cybersecurity","Louisville, CO",JumpCloud,Private,
Chime,156,12,11/2/2022,Fintech,San Francisco,The Information,Private,
Embroker,30,12,10/25/2022,InsurTech,San Francisco,The Insurer,Private,
Divvy Homes,40,12,9/27/2022,PropTech,San Franicsco,The Information,Private,
Ethos Life,40,12,6/24/2022,InsurTech,San Francisco,Coverager,Private,
GoFundMe,94,12,10/26/2022,Crowdfunding,"Redwood City, CA",GoFundMe,Private,
Digital Currency Group,10,13,11/2/2022,Cryptocurrency,"Stamford, CT",Coindesk,Private,
Intercom,124,13,11/14/2022,"customer service, automation",San Franicsco,Silicon Republic,Private,
SundaySky,24,13,7/11/2022,Video Conferencing Software,New York,Globes,Private,"Layoffs affect employees in the U.S., Israel, and Japan. Layoffs affected around 13% of employees."
Chipper Cash,50,13,12/6/2022,"fintech, money transfer",San Francisco,TechCrunch,Private,
Udacity,55,13,10/11/2022,"edtech, artificial intelligence","Mountain View, CA",Udacity,Private,
Sourcepoint,7,13,6/2/2022,"Privacy Tech, Marketing Tech",New York,Crunchbase News reporting,Private,Company did not respond to a request to confirm details of layoffs. Layoffs affected around 13% of employees.
Thirty Madison,95,13,8/18/2022,"health care, wellness",Greater New York area,Fierce Healthcare,Private,
Sendoso,100,14,6/6/2022,Marketing Automation,San Francisco,Business Insider,Private,
Malwarebytes,125,14,8/17/2022,"security, enterprise software",San Francisco,TechCrunch,Private,
Substack,13,14,6/29/2022,"Media, Content Creators",San Francisco,New York Times,Private,
Morning Brew,95,14,11/17/2022,"Media, news",New York,Max Tani,Private,
Benitago Group,95,14,11/4/2022,"e-commerce, retail",New York,TechCrunch,Private,
Juniper Square,95,14,9/6/2022,Proptech,San Francisco,The Real Deal,Private,
Nayya,16,15,6/17/2022,"Employee Benefits, HR Tech",New York,Crunchbase News reporting,Private,
Verily,250,15,1/11/2023,"health care, data collection",San Francisco,The Information,Private,
CyCognito,30,15,12/8/2022,Cybersecurity,Palo Alto,Calcalistech,Private,
Zumper,45,15,6/16/2022,PropTech,San Francisco,The Real Deal,Private,
Polly,47,15,12/2/2022,"Insurtech, fintech","Williston, VT",VT Digger,Private,
Woven,5,15,8/16/2022,"Artificial intelligence, recruiting",Indianapolis,AdAge,Private,
The Mom Project,54,15,7/20/2022,Talent marketplace,Chicago,LinkedIn,Private,
SonderMind,95,15,12/16/2022,telehealth,Denver,Denver Business Journal,Private,
Apollo,95,15,12/15/2022,"developer APIs, enterprise software",San Francisco,Apollo,Private,
Code42,95,15,11/7/2022,"Cybersecurity, enterprise software",Minneapolis,Star Tribune,Private,
Flowhub,95,15,9/9/2022,Cannabis,Dever,Business Insider,Private,
Daily Harvest,95,15,8/8/2022,"Food delivery, ecommerce",New York City,Fortune,Private,
Rock Content,95,15,1/12/2023,"content marketing, advertising","Boca Raton, FL",Terra,Private,
Lattice,95,15,1/12/2023,"Enterprise applications, HR",San Francisco,Lattice CEO Jack Altman,Private,
Citrix Systems,95,15,1/10/2023,"Security, SaaS","Fort Lauderdale, FL",TechCrunch,Private,
WHOOP,95,15,7/21/2022,Fitness,Boston,Front Office Sports,Private,
Papa,95,15,7/14/2022,Elder Care,Miami,LinkedIn,Private,
Sundae,95,15,6/28/2022,"PropTech, Real Estate",San Francisco,Real Trends,Private,
TruePill,95,15,6/8/2022,Health Care,"Hayward, California",TruePill,Private,
Terminus,95,15,5/27/2022,Marketing,Atlanta,LinkedIn,Private,
Outside Inc,95,15,5/20/2022,Media/entertainment,Boulder,Denver Business Journal,Private,
Stream,20,15,6/30/2022,Communications Infrastructure,Boulder,Pragmatic Engineer,Private,
Carbon Health,450,16,1/6/2023,Health Care,San Francisco,Carbon Health CEO Eren Bali,Private,
Jam City,200,17,8/4/2022,"Mobile Apps, Gaming",Culver City,VentureBeat,Private,
Next Insurance,150,17,7/7/2022,InsurTech,Palo Alto,CTech,Private,
OwnBackup,170,17,11/15/2022,"SaaS, enterprise software","Englewood Cliffs, NJ",Calcalistech,Private,
Everlane,30,17,1/5/2023,"Fashion, e-commerce",San Francisco,The Information,Private,
Patreon,80,17,9/13/2022,Social media,San Francisco,The Information,Private,
Recharge,84,17,10/27/2022,Fintech,Los Angeles,Recharge CEO,Private,
Nextiva,95,17,12/6/2022,Customer service,Phoenix,Channel Futures,Private,
Grove Collaborative,95,17,3/29/2022,E-commerce,San Francisco,Retail Dive,Private,
Lithic,27,18,12/7/2022,Fintech,New York,Axios,Private,
SQream Technologies,30,18,7/6/2022,Data Analytics,New York,CTech,Private,
Emotive,30,18,7/7/2022,SMS Marketing,Los Angeles,dot.LA,Private,
